type	threads	total time, s	time per step, us	n	x
processes	16	4.003931045532227	0.04003931045532227	100000000	5
processes	16	3.927983045578003	0.039279830455780027	100000000	13.54
processes	17	4.362524032592773	0.04362524032592774	100000000	-2.1
processes	17	3.3945157527923584	0.03394515752792358	100000000	-1
processes	17	1.4225022792816162	0.014225022792816162	100000000	0
processes	17	2.8600499629974365	0.028600499629974362	100000000	1
processes	17	3.9818336963653564	0.03981833696365356	100000000	5
processes	17	3.94789719581604	0.0394789719581604	100000000	13.54
processes	18	4.353843927383423	0.04353843927383423	100000000	-2.1
processes	18	3.385315418243408	0.033853154182434085	100000000	-1
processes	18	1.435969591140747	0.01435969591140747	100000000	0
processes	18	2.8606209754943848	0.028606209754943848	100000000	1
processes	18	3.9181265830993652	0.03918126583099365	100000000	5
